iteration,train_emotion,test_emotion,match_score,similarity,timestamp,result
72,neutral,disgust,0.28,0.07,2025-09-20 20:22:12,fail
72,neutral,neutral,0.33,1.0,2025-09-20 20:22:12,success
72,neutral,sleepiness,0.32,0.07,2025-09-20 20:22:12,fail
73,neutral,amused,0.31,0.07,2025-09-20 20:22:12,fail
73,neutral,anger,0.34,0.11,2025-09-20 20:22:13,success
73,neutral,disgust,0.28,0.07,2025-09-20 20:22:13,fail
73,neutral,neutral,0.33,1.0,2025-09-20 20:22:13,success
73,neutral,sleepiness,0.32,0.07,2025-09-20 20:22:13,fail
74,neutral,amused,0.31,0.07,2025-09-20 20:22:14,fail
74,neutral,anger,0.34,0.11,2025-09-20 20:22:14,success
74,neutral,disgust,0.28,0.07,2025-09-20 20:22:14,fail
74,neutral,neutral,0.33,1.0,2025-09-20 20:22:14,success
74,neutral,sleepiness,0.32,0.07,2025-09-20 20:22:15,fail
75,neutral,amused,0.31,0.07,2025-09-20 20:22:15,fail
75,neutral,anger,0.34,0.11,2025-09-20 20:22:15,success
75,neutral,disgust,0.28,0.07,2025-09-20 20:22:16,fail
75,neutral,neutral,0.33,1.0,2025-09-20 20:22:16,success
75,neutral,sleepiness,0.32,0.07,2025-09-20 20:22:17,fail
76,neutral,amused,0.31,0.07,2025-09-20 20:22:17,fail
76,neutral,anger,0.34,0.11,2025-09-20 20:22:17,success
76,neutral,disgust,0.28,0.07,2025-09-20 20:22:17,fail
76,neutral,neutral,0.33,1.0,2025-09-20 20:22:18,success
76,neutral,sleepiness,0.32,0.07,2025-09-20 20:22:18,fail
77,neutral,amused,0.31,0.07,2025-09-20 20:22:18,fail
77,neutral,anger,0.34,0.11,2025-09-20 20:22:18,success
77,neutral,disgust,0.28,0.07,2025-09-20 20:22:19,fail
77,neutral,neutral,0.33,1.0,2025-09-20 20:22:19,success
77,neutral,sleepiness,0.32,0.07,2025-09-20 20:22:19,fail
78,neutral,amused,0.31,0.07,2025-09-20 20:22:20,fail
78,neutral,anger,0.34,0.11,2025-09-20 20:22:20,success
78,neutral,disgust,0.28,0.07,2025-09-20 20:22:20,fail
78,neutral,neutral,0.33,1.0,2025-09-20 20:22:20,success
78,neutral,sleepiness,0.32,0.07,2025-09-20 20:22:21,fail
79,neutral,amused,0.31,0.07,2025-09-20 20:22:21,fail
79,neutral,anger,0.34,0.11,2025-09-20 20:22:21,success
79,neutral,disgust,0.28,0.07,2025-09-20 20:22:21,fail
79,neutral,neutral,0.33,1.0,2025-09-20 20:22:22,success
79,neutral,sleepiness,0.32,0.07,2025-09-20 20:22:22,fail
80,neutral,amused,0.31,0.07,2025-09-20 20:22:22,fail
80,neutral,anger,0.34,0.11,2025-09-20 20:22:22,success
80,neutral,disgust,0.28,0.07,2025-09-20 20:22:23,fail
80,neutral,neutral,0.33,1.0,2025-09-20 20:22:23,success
80,neutral,sleepiness,0.32,0.07,2025-09-20 20:22:23,fail
81,neutral,amused,0.31,0.07,2025-09-20 20:22:23,fail
81,neutral,anger,0.34,0.11,2025-09-20 20:22:24,success
81,neutral,disgust,0.28,0.07,2025-09-20 20:22:24,fail
81,neutral,neutral,0.33,1.0,2025-09-20 20:22:24,success
81,neutral,sleepiness,0.32,0.07,2025-09-20 20:22:25,fail
82,neutral,amused,0.31,0.07,2025-09-20 20:22:25,fail
82,neutral,anger,0.34,0.11,2025-09-20 20:22:25,success
82,neutral,disgust,0.28,0.07,2025-09-20 20:22:26,fail
82,neutral,neutral,0.33,1.0,2025-09-20 20:22:26,success
82,neutral,sleepiness,0.32,0.07,2025-09-20 20:22:26,fail
83,neutral,amused,0.31,0.07,2025-09-20 20:22:26,fail
